cl_date,cs_date
2014-10-01,1925-10-31
2014-11-01,1925-11-30
2014-12-01,1925-12-31
2015-01-01,1926-01-31
2015-02-01,1926-02-28
2015-03-01,1926-03-31
2015-04-01,1926-04-30
2015-05-01,1926-05-31
2015-06-01,1926-06-30
2015-07-01,1926-07-31
2015-08-01,1926-08-31
2015-09-01,1926-09-30
2015-10-01,1926-10-31
2015-11-01,1926-11-30
2015-12-01,1926-12-31
2016-01-01,1927-01-31
2016-02-01,1927-02-28
2016-03-01,1927-03-31
2016-04-01,1927-04-30
2016-05-01,1927-05-31
2016-06-01,1927-06-30
2016-07-01,1927-07-31
2016-08-01,1927-08-31
2016-09-01,1927-09-30
2016-10-01,1927-10-31
2016-11-01,1927-11-30
2016-12-01,1927-12-31
2017-01-01,1928-01-31
2017-02-01,1928-02-29
2017-03-01,1928-03-31
2017-04-01,1928-04-30
2017-05-01,1928-05-31
2017-06-01,1928-06-30
2017-07-01,1928-07-31
2017-08-01,1928-08-31
2017-09-01,1928-09-30
2017-10-01,1928-10-31
2017-11-01,1928-11-30
2017-12-01,1928-12-31
2018-01-01,1929-01-31
2018-02-01,1929-02-28
2018-03-01,1929-03-31
2018-04-01,1929-04-30
2018-05-01,1929-05-31
2018-06-01,1929-06-30
2018-07-01,1929-07-31
2018-08-01,1929-08-31
2018-09-01,1929-09-30
2018-10-01,1929-10-31
2018-11-01,1929-11-30
2018-12-01,1929-12-31
2019-01-01,1930-01-31
2019-02-01,1930-02-28
2019-03-01,1930-03-31
2019-04-01,1930-04-30
2019-05-01,1930-05-31
2019-06-01,1930-06-30
2019-07-01,1930-07-31
2019-08-01,1930-08-31
2019-09-01,1930-09-30
2019-10-01,1930-10-31
2019-11-01,1930-11-30
2019-12-01,1930-12-31
2020-01-01,1931-01-31
2020-02-01,1931-02-28
2020-03-01,1931-03-31
2020-04-01,1931-04-30
2020-05-01,1931-05-31
2020-06-01,1931-06-30
2020-07-01,1931-07-31
2020-08-01,1931-08-31
2020-09-01,1931-09-30
2020-10-01,1931-10-31
2020-11-01,1931-11-30
2020-12-01,1931-12-31
2021-01-01,1932-01-31
2021-02-01,1932-02-29
2021-03-01,1932-03-31
2021-04-01,1932-04-30
2021-05-01,1932-05-31
2021-06-01,1932-06-30
2021-07-01,1932-07-31
2021-08-01,1932-08-31
2021-09-01,1932-09-30
2021-10-01,1932-10-31
2021-11-01,1932-11-30
2021-12-01,1932-12-31
2022-01-01,1933-01-31
2022-02-01,1933-02-28
2022-03-01,1933-03-31
2022-04-01,1933-04-30
2022-05-01,1933-05-31
2022-06-01,1933-06-30
2022-07-01,1933-07-31
2022-08-01,1933-08-31
2022-09-01,1933-09-30
2022-10-01,1933-10-31
2022-11-01,1933-11-30
2022-12-01,1933-12-31
2023-01-01,1934-01-31
2023-02-01,1934-02-28
2023-03-01,1934-03-31
2023-04-01,1934-04-30
2023-05-01,1934-05-31
2023-06-01,1934-06-30
2023-07-01,1934-07-31
2023-08-01,1934-08-31
2023-09-01,1934-09-30
2023-10-01,1934-10-31
2023-11-01,1934-11-30
2023-12-01,1934-12-31
2024-01-01,1935-01-31
2024-02-01,1935-02-28
2024-03-01,1935-03-31
2024-04-01,1935-04-30
2024-05-01,1935-05-31
2024-06-01,1935-06-30
2024-07-01,1935-07-31
2024-08-01,1935-08-31
2024-09-01,1935-09-30
2024-10-01,1935-10-31
2024-11-01,1935-11-30
2024-12-01,1935-12-31
2025-01-01,1936-01-31
2025-02-01,1936-02-29
2025-03-01,1936-03-31
2025-04-01,1936-04-30
2025-05-01,1936-05-31
2025-06-01,1936-06-30
2025-07-01,1936-07-31
2025-08-01,1936-08-31
2025-09-01,1936-09-30
2025-10-01,1936-10-31
2025-11-01,1936-11-30
2025-12-01,1936-12-31
2026-01-01,1937-01-31
2026-02-01,1937-02-28
2026-03-01,1937-03-31
2026-04-01,1937-04-30
2026-05-01,1937-05-31
2026-06-01,1937-06-30
2026-07-01,1937-07-31
2026-08-01,1937-08-31
2026-09-01,1937-09-30
2026-10-01,1937-10-31
2026-11-01,1937-11-30
2026-12-01,1937-12-31
2027-01-01,1938-01-31
2027-02-01,1938-02-28
2027-03-01,1938-03-31
2027-04-01,1938-04-30
2027-05-01,1938-05-31
2027-06-01,1938-06-30
2027-07-01,1938-07-31
2027-08-01,1938-08-31
2027-09-01,1938-09-30
2027-10-01,1938-10-31
2027-11-01,1938-11-30
2027-12-01,1938-12-31
2028-01-01,1939-01-31
2028-02-01,1939-02-28
2028-03-01,1939-03-31
2028-04-01,1939-04-30
2028-05-01,1939-05-31
2028-06-01,1939-06-30
2028-07-01,1939-07-31
2028-08-01,1939-08-31
2028-09-01,1939-09-30
2028-10-01,1939-10-31
2028-11-01,1939-11-30
2028-12-01,1939-12-31
2029-01-01,1940-01-31
2029-02-01,1940-02-29
2029-03-01,1940-03-31
2029-04-01,1940-04-30
2029-05-01,1940-05-31
