order,watershed
1,Upper Sacramento River
2,Antelope Creek
3,Battle Creek
4,Bear Creek
5,Big Chico Creek
6,Butte Creek
7,Clear Creek
8,Cottonwood Creek
9,Cow Creek
10,Deer Creek
11,Elder Creek
12,Mill Creek
13,Paynes Creek
14,Stony Creek
15,Thomes Creek
16,Upper-mid Sacramento River
17,Sutter Bypass
18,Bear River
19,Feather River
20,Yuba River
21,Lower-mid Sacramento River
22,Yolo Bypass
23,American River
24,Lower Sacramento River
25,Calaveras River
26,Cosumnes River
27,Mokelumne River
28,Merced River
29,Stanislaus River
30,Tuolumne River
31,San Joaquin River
