order,watershed,lifestage,miles,feet,source,species
1,Upper Sacramento River,spawning,59.3501161191,313368.613109,Jim Smith,fr
1,Upper Sacramento River,rearing,59.1856797029,312500.388832,Jim Smith,fr
2,Antelope Creek,spawning,23.6855839334,125059.883168,Matt Johnson,fr
2,Antelope Creek,rearing,31.6190770005,166948.726562,Matt Johnson,fr
3,Battle Creek,spawning,3.9669143682,20945.3078641,Jim Smith,fr
3,Battle Creek,rearing,5.8717063577,31002.6095687,Jim Smith,fr
4,Bear Creek,spawning,17.1039074021,90308.6310829,Tricia Bratcher,fr
4,Bear Creek,rearing,17.2962225889,91324.0552695,Tricia Bratcher,fr
5,Big Chico Creek,rearing,15.0546333273,79488.4639682,Clint Garman,fr
5,Big Chico Creek,spawning,15.0546333273,79488.4639682,Clint Garman,fr
6,Butte Creek,spawning,14.0598503769,74236.0099902,Clint Garman,fr
6,Butte Creek,rearing,17.1423785671,90511.7588343,Clint Garman,fr
7,Clear Creek,rearing,7.9970363808,42224.3520905,Matt Brown,fr
7,Clear Creek,spawning,7.9970363808,42224.3520905,Matt Brown,fr
8,Cottonwood Creek,rearing,22.3564643065,118042.131538,Tricia Bratcher,fr
8,Cottonwood Creek,spawning,22.3564643065,118042.131538,Tricia Bratcher,fr
9,Cow Creek,spawning,63.6657077557,336154.93695,Tricia Bratcher,fr
9,Cow Creek,rearing,64.1702835831,338819.097319,Tricia Bratcher,fr
10,Deer Creek,spawning,18.3882899512,97090.1709422,Matt Johnson,fr
10,Deer Creek,rearing,18.3882899512,97090.1709422,Matt Johnson,fr
11,Elder Creek,spawning,7.1007907706,37492.1752685,Tricia Bratcher,fr
11,Elder Creek,rearing,7.1007907706,37492.1752685,Tricia Bratcher,fr
12,Mill Creek,rearing,21.0990926333,111403.209104,Matt Johnson,fr
12,Mill Creek,spawning,20.3924088629,107671.918796,Matt Johnson,fr
13,Paynes Creek,spawning,11.8092197647,62352.6803578,Tricia Bratcher,fr
13,Paynes Creek,rearing,11.8092197647,62352.6803578,Tricia Bratcher,fr
14,Stony Creek,rearing,26.1209732228,137918.738617,Clint Garman,fr
14,Stony Creek,spawning,26.1209732228,137918.738617,Clint Garman,fr
15,Thomes Creek,spawning,37.4740839112,197863.163051,Tricia Bratcher,fr
15,Thomes Creek,rearing,37.4740839112,197863.163051,Tricia Bratcher,fr
16,Upper-mid Sacramento River,rearing,122.450036332,646536.191831,Mike Urkov,fr
18,Bear River,spawning,32.050407448,169226.151325,Justin Wood,fr
18,Bear River,rearing,32.050407448,169226.151325,Justin Wood,fr
19,Feather River,spawning,18.0230699348,95161.8092555,Ryon Kurth,fr
19,Feather River,rearing,64.9825968859,343108.111557,Ryon Kurth,fr
20,Yuba River,spawning,20.5789776527,108657.002006,Paul Bratovich,fr
20,Yuba River,rearing,23.0720306921,121820.322054,Paul Bratovich,fr
21,Lower-mid Sacramento River,rearing,57.9625095992,306042.050684,Mike Urkov,fr
23,American River,spawning,17.8793222198,94402.8213204,Chris Hammersmark,fr
23,American River,rearing,22.8116010151,120445.25336,Chris Hammersmark,fr
24,Lower Sacramento River,rearing,13.7021917863,72347.5726318,Mike Urkov,fr
25,Calaveras River,rearing,18.4833309711,97591.9875276,Trevor Kennedy,fr
25,Calaveras River,spawning,12.2851385418,64865.5315006,Trevor Kennedy,fr
26,Cosumnes River,spawning,13.954851975,73681.6184277,Trevor Kennedy,fr
26,Cosumnes River,rearing,41.3388181721,218268.959949,Trevor Kennedy,fr
27,Mokelumne River,spawning,10.1044703465,53351.6034297,Matt Saldate,fr
27,Mokelumne River,rearing,58.3975871469,308339.260136,Robyn Bilski,fr
28,Merced River,spawning,24.7642038237,130754.996189,Steve Tsao,fr
28,Merced River,rearing,51.7593882276,273289.569842,Steve Tsao,fr
29,Stanislaus River,rearing,60.3127041505,318451.077915,Domenic Giudice,fr
29,Stanislaus River,spawning,25.5676719352,134997.307818,Domenic Giudice,fr
30,Tuolumne River,spawning,20.8139968326,109897.903276,Gretchen Murphey,fr
30,Tuolumne River,rearing,54.3311393472,286868.415753,Wikert John,fr
31,San Joaquin River,rearing,45.680330978,241192.147564,Mike Urkov,fr
32,North Delta,rearing,45.6540826049,241053.556154,Mike Urkov,fr
33,South Delta,rearing,69.6172155266,367578.897981,Mike Urkov,fr
3,Battle Creek,rearing,24.4090383319,128879.722392,Laurie Earley,sr
3,Battle Creek,spawning,18.5373319742,97877.1128236,Laurie Earley,sr
5,Big Chico Creek,rearing,23.8377628789,125863.388001,Clint Garman,sr
5,Big Chico Creek,spawning,23.8377628789,125863.388001,Clint Garman,sr
6,Butte Creek,rearing,31.6690825753,167212.755998,Clint Garman,sr
6,Butte Creek,spawning,14.5462583819,76804.2442563,Clint Garman,sr
7,Clear Creek,rearing,17.922014927,94628.2388147,Matt Brown,sr
7,Clear Creek,spawning,10.6138251433,56040.9967569,Matt Brown,sr
8,Cottonwood Creek,spawning,19.363440851,102238.967693,Patricia Bratcher,sr
8,Cottonwood Creek,rearing,119.477019821,630838.664654,Patricia Bratcher,sr
10,Deer Creek,rearing,47.9215256958,253025.655674,Matt Johnson,sr
10,Deer Creek,spawning,24.7524334246,130692.848482,Matt Johnson,sr
12,Mill Creek,rearing,53.4904658986,282429.659945,Matt Johnson,sr
12,Mill Creek,spawning,39.433214544,208207.372792,Matt Johnson,sr
15,Thomes Creek,spawning,2.7677235423,14613.5803032,Patricia Bratcher,sr
15,Thomes Creek,rearing,42.6966142162,225438.123061,Patricia Bratcher,sr
3,Battle Creek,rearing,24.4090383319,128879.722392,Laurie Earley,st
3,Battle Creek,spawning,18.5373319742,97877.1128236,Laurie Earley,st
5,Big Chico Creek,spawning,23.8377628789,125863.388001,Clint Garman,st
5,Big Chico Creek,rearing,23.8377628789,125863.388001,Clint Garman,st
6,Butte Creek,spawning,14.5462583819,76804.2442563,Clint Garman,st
6,Butte Creek,rearing,31.6690825753,167212.755998,Clint Garman,st
7,Clear Creek,rearing,17.922014927,94628.2388147,Matt Brown,st
7,Clear Creek,spawning,17.922014927,94628.2388147,Matt Brown,st
8,Cottonwood Creek,spawning,142.255906924,751111.188561,Patricia Bratcher,st
8,Cottonwood Creek,rearing,142.255906924,751111.188561,Patricia Bratcher,st
9,Cow Creek,spawning,94.1896284482,497321.238207,Patricia Bratcher,st
9,Cow Creek,rearing,94.1896284482,497321.238207,Patricia Bratcher,st
10,Deer Creek,rearing,47.9215256958,253025.655674,Matt Johnson,st
10,Deer Creek,spawning,24.7524334246,130692.848482,Matt Johnson,st
12,Mill Creek,rearing,53.4904658986,282429.659945,Matt Johnson,st
12,Mill Creek,spawning,39.433214544,208207.372792,Matt Johnson,st
13,Paynes Creek,rearing,27.8106193294,146840.070059,Patricia Bratcher,st
13,Paynes Creek,spawning,27.8106193294,146840.070059,Patricia Bratcher,st
15,Thomes Creek,rearing,42.6966142162,225438.123061,Patricia Bratcher,st
15,Thomes Creek,spawning,26.0621464954,137608.133496,Patricia Bratcher,st
