date,water_temp_f
2011-07-01,62
2011-07-03,66.2
2011-07-06,68
2011-07-08,64
2011-07-11,65
2011-07-13,63
2011-07-15,65
2011-07-18,65
2011-07-20,66
2011-07-22,66
2011-07-25,64.4
2011-07-27,66
2011-07-29,66
2011-08-01,68
2011-08-03,68
2011-08-05,68
2011-08-08,67
2011-08-10,67
2011-08-12,66
2011-08-15,65
2011-08-19,67
2011-08-22,68
2011-08-26,64.4
2011-08-29,66
2011-09-02,70
2011-09-05,64
2011-09-09,64
2011-09-12,66
2011-09-16,63
2011-09-19,64
2011-09-23,62.6
2011-09-26,62.6
2011-09-30,62
2011-10-03,60
2011-10-05,60
2011-10-07,58
2011-10-10,60
2011-10-12,64
2011-10-14,59
2011-10-17,59
2011-10-19,57.2
2011-10-21,62
2011-10-24,59
2011-10-26,60
2011-10-28,55.4
2011-10-31,60.8
2011-11-04,53
2011-11-07,51
2011-11-11,51
2011-11-14,52
2011-11-16,53
2011-11-18,52
2011-11-21,50
2011-11-23,50
2011-11-26,50
2011-11-28,50
2011-11-30,51
2011-12-02,50
2011-12-05,47
2011-12-07,47
2011-12-09,47
2011-12-12,47
2011-12-14,47
2011-12-16,46
2011-12-19,48
2011-12-21,48
2011-12-23,47
2011-12-26,46
2011-12-28,46
2011-12-30,47
2012-01-02,48
2012-01-04,48
2012-01-06,48
2012-01-09,48
2012-01-11,47
2012-01-13,48
2012-01-16,44
2012-01-18,43
2012-01-20,45
2012-01-22,46
2012-01-23,46
2012-01-24,46
2012-01-26,47
2012-01-27,48
2012-01-28,46
2012-01-29,44
2012-01-30,46
2012-01-31,47
2012-02-01,48
2012-02-02,47
2012-02-03,49
2012-02-04,50
2012-02-05,50
2012-02-06,49
2012-02-07,50
2012-02-08,50
2012-02-10,51
2012-02-13,52
2012-02-15,50
2012-02-17,48
2012-02-18,48
2012-02-19,48
2012-02-20,48
2012-02-22,50
2012-02-24,52
2012-02-27,50
2012-02-29,50
2012-03-02,48
2012-03-04,50
2012-03-05,51
2012-03-07,51
2012-03-09,51
2012-03-12,52
2012-03-14,53
2012-03-15,52
2012-03-16,51
2012-03-17,52
2012-03-18,52
2012-03-19,50
2012-03-20,50
2012-03-21,51
2012-03-22,51
2012-03-23,51
2012-03-24,52
2012-03-25,51
2012-03-26,51
2012-03-27,49
2012-03-28,50
2012-03-29,50
2012-03-30,51
2012-03-31,52
2012-04-01,53
2012-04-02,53
2012-04-03,54
2012-04-04,54
2012-04-05,53
2012-04-06,54
2012-04-07,53
2012-04-08,54
2012-04-09,54
2012-04-11,54
2012-04-12,54
2012-04-13,53
2012-04-14,52
2012-04-15,53
2012-04-16,54
2012-04-17,54
2012-04-18,56
2012-04-20,58
2012-04-21,60
2012-04-23,62
2012-04-24,62
2012-04-25,63
2012-04-26,61
2012-04-27,60
2012-04-28,59
2012-04-30,60
2012-05-02,62
2012-05-04,61
2012-05-05,61
2012-05-06,61
2012-05-07,62
2012-05-08,61
2012-05-09,61
2012-05-10,63
2012-05-11,64
2012-05-14,63
2012-05-16,64
2012-05-18,64
2012-05-21,65
2012-05-23,65
2012-05-25,65
2012-05-28,66
2012-05-30,65
2012-05-31,64
2012-06-01,66
2012-06-04,67
2012-06-06,65
2012-06-08,65
2012-06-11,63
2012-06-13,65
2012-06-15,68
2012-06-18,68
2012-06-20,66
2012-06-22,63
2012-06-25,60
2012-06-27,64
2012-06-29,64
2012-03-04,54
2012-07-02,67
2012-07-04,67
2012-07-06,65
2012-07-09,66
2012-07-10,66
2012-07-11,65
2012-07-12,64
2012-07-13,65
2012-07-16,64
2012-07-18,64
2012-07-20,66
2012-07-23,66
2012-07-25,65
2012-07-27,66
2012-07-30,64
2012-08-01,66
2012-08-03,66
2012-08-06,65
2012-08-08,65
2012-08-10,64
2012-08-13,65
2012-08-15,64
2012-08-17,64
2012-08-20,64
2012-08-22,66
2012-08-24,64
2012-08-27,63
2012-08-29,63
2012-08-31,63
2012-09-03,64
2012-09-05,63
2012-09-07,64
2012-09-10,65
2012-09-12,63
2012-09-14,64
2012-09-17,65
2012-09-19,64
2012-09-21,65
2012-09-24,64
2012-09-26,64
2012-09-28,64
2012-10-01,64
2012-10-03,65
2012-10-05,63
2012-10-08,60
2012-10-10,59
2012-10-12,60
2012-10-15,60
2012-10-17,59
2012-10-19,59
2012-10-22,59
2012-10-24,58
2012-10-26,58
2012-10-29,56
2012-10-31,59
2012-11-02,58
2012-11-05,59
2012-11-07,59
2012-11-09,58
2012-11-12,57
2012-11-14,56
2012-11-16,55
2012-11-19,56
2012-11-20,55
2012-11-21,56
2012-11-23,54
2012-11-24,53
2012-11-25,53
2012-11-26,55
2012-11-27,54
2012-11-28,53
2012-11-29,53
2012-11-30,53
2012-12-01,52
2012-12-02,51
2012-12-03,51
2012-12-04,51
2012-12-05,52
2012-12-06,53
2012-12-07,51
2012-12-09,54
2012-12-10,52
2012-12-11,51
2012-12-12,50
2012-12-13,50
2012-12-14,50
2012-12-15,49
2013-03-06,53.6
2013-03-08,53.6
2013-03-11,57
2013-03-13,55.4
2013-03-14,57
2013-03-18,57
2013-03-20,56
2013-03-21,57
2013-03-25,54
2013-03-27,56
2013-03-28,57
2013-04-03,60.5
2013-04-04,60
2013-04-05,59.5
2013-04-08,58
2013-04-09,58
2013-04-10,57.5
2013-04-11,58
2013-04-12,58
2013-04-15,58
2013-04-16,59
2013-04-17,58
2013-04-18,58
2013-04-19,58
2013-04-22,58
2013-04-23,61
2013-04-24,64
2013-04-25,61
2013-04-29,64
2013-04-30,63.5
2013-05-01,60.5
2013-05-02,61
2013-05-06,62
2013-05-07,60.5
2013-05-08,61.5
2013-05-09,62
2013-05-10,62
2013-05-13,65
2013-05-14,66
2013-05-15,66.5
2013-05-16,66
2013-05-17,63
2013-05-20,64
2013-05-21,63
2013-05-22,62
2013-05-23,61.5
2013-05-24,60
2013-05-27,63
2013-05-28,62.5
2013-05-29,62
2013-05-30,63
2013-05-31,62
2013-06-04,63
2013-06-05,64
2013-06-06,65
2013-06-07,65
2013-06-11,65
2013-06-12,64
2013-06-13,63
2013-06-14,63
2013-06-19,62
2013-06-21,63
2014-05-03,62
2013-09-23,63
2013-09-24,62
2013-09-25,62
2013-09-26,60
2013-09-29,61
2013-09-30,62
2013-10-01,61
2013-10-02,61
2013-10-03,59
2013-10-04,59
2013-10-05,59
2013-10-06,58
2013-10-07,59
2013-10-08,58
2013-10-09,57
2013-10-10,57
2013-10-11,58
2013-10-12,57
2013-10-13,58
2013-10-14,59
2013-10-15,60
2013-10-16,58
2013-10-18,58
2013-10-20,58
2013-10-21,58
2013-10-22,59
2013-10-23,58
2013-10-24,58
2013-10-25,58
2013-10-26,56
2013-10-27,57
2013-10-28,55
2013-10-29,56
2013-10-30,58
2013-10-31,54
2013-11-01,56
2013-11-02,56
2013-11-03,56.5
2013-11-04,52
2013-11-05,52
2013-11-06,52
2013-11-07,53.5
2013-11-08,53.5
2013-11-09,55
2013-11-10,55
2013-11-11,56
2013-11-12,55
2013-11-13,55.5
2013-11-14,55.5
2013-11-15,54
2013-11-16,54.5
2013-11-17,53.5
2013-11-18,55.5
2013-11-19,53
2013-11-20,53
2013-11-21,52
2013-11-22,53
2013-11-23,50
2013-11-24,50
2013-11-25,48.5
2013-11-26,49
2013-11-27,49
2013-11-29,51
2013-11-30,51.5
2013-12-01,52
2013-12-02,51
2013-12-03,50
2013-12-04,49
2013-12-05,42
2013-12-06,46
2013-12-07,41
2013-12-08,41
2013-12-09,40.5
2013-12-10,41
2013-12-11,42
2013-12-12,41.5
2013-12-13,42.5
2013-12-14,42.5
2013-12-15,42.5
2013-12-16,45
2013-12-17,44
2013-12-18,45
2013-12-19,43
2013-12-20,45.5
2013-12-21,45
2013-12-22,44
2013-12-23,46
2013-12-24,48
2013-12-26,46.5
2013-12-27,46.5
2013-12-28,46.5
2013-12-29,47
2013-12-30,44
2014-01-02,46.5
2014-01-03,47
2014-01-04,46
2014-01-05,48
2014-01-06,44.5
2014-01-07,47.5
2014-01-08,44.5
2014-01-09,45.5
2014-01-10,47.5
2014-01-11,47.5
2014-01-12,48
2014-01-13,48.5
2014-01-14,48
2014-01-15,46.5
2014-01-16,46
2014-01-17,49
2014-01-18,48.5
2014-01-19,49
2014-01-20,48
2014-01-21,47.5
2014-01-22,49
2014-01-23,48
2014-01-24,48.5
2014-01-25,48.5
2014-01-26,49
2014-01-27,49
2014-01-28,51
2014-01-29,50
2014-01-30,50
2014-01-31,50
2014-02-01,48.5
2014-02-02,46
2014-02-03,48.5
2014-02-04,47.5
2014-02-05,48
2014-02-06,47
2014-02-07,47.5
2014-02-08,47
2014-02-09,49
2014-02-10,51
2014-02-11,52
2014-02-12,52
2014-02-13,52
2014-02-14,53
2014-02-15,53
2014-02-16,52
2014-02-17,55
2014-02-18,53
2014-02-19,55
2014-02-20,53.5
2014-02-21,51.5
2014-02-22,52.5
2014-02-23,54
2014-02-24,55.5
2014-02-25,55
2014-02-26,54.5
2014-02-27,56
2014-02-28,56
2014-03-06,56
2014-03-07,56
2014-03-08,55
2014-03-09,55
2014-03-10,55
2014-03-11,55
2014-03-12,55
2014-03-13,56
2014-03-14,57
2014-03-15,57
2014-03-16,56.5
2014-03-17,56.5
2014-03-18,57
2014-03-19,57.5
2014-03-20,57.5
2014-03-21,59
2014-03-22,59.5
2014-03-23,58
2014-03-24,60
2014-03-25,59
2014-03-26,58
2014-03-27,57
2014-03-28,57
2014-03-29,58
2014-03-30,58
2014-03-31,56
2014-04-01,55
2014-04-02,53
2014-04-03,54
2014-04-04,54.5
2014-04-05,55
2014-04-06,54.5
2014-04-07,60
2014-04-08,61.5
2014-04-09,64
