date,water_temp_f
2003-10-06T00:00:00Z,64
2003-10-10T00:00:00Z,62
2003-10-14T00:00:00Z,58
2003-10-17T00:00:00Z,58
2003-10-21T00:00:00Z,59
2003-10-24T00:00:00Z,59
2003-10-27T00:00:00Z,59
2003-10-30T00:00:00Z,58
2003-11-03T00:00:00Z,52
2003-11-06T00:00:00Z,51
2003-11-10T00:00:00Z,53
2003-11-12T00:00:00Z,53
2003-11-14T00:00:00Z,53
2003-11-17T00:00:00Z,52
2003-11-19T00:00:00Z,52
2003-11-21T00:00:00Z,52
2003-11-24T00:00:00Z,47
2003-11-26T00:00:00Z,46
2003-11-28T00:00:00Z,47
2003-12-01T00:00:00Z,48
2003-12-03T00:00:00Z,50
2003-12-05T00:00:00Z,51
2003-12-08T00:00:00Z,51
2003-12-08T00:00:00Z,51
2003-12-09T00:00:00Z,50
2003-12-10T00:00:00Z,49
2003-12-12T00:00:00Z,47
2003-12-13T00:00:00Z,47
2003-12-15T00:00:00Z,48
2003-12-16T00:00:00Z,NA
2003-12-17T00:00:00Z,46
2003-12-18T00:00:00Z,45
2003-12-19T00:00:00Z,47
2003-12-20T00:00:00Z,47
2003-12-22T00:00:00Z,48
2003-12-23T00:00:00Z,48
2003-12-24T00:00:00Z,48
2003-12-27T00:00:00Z,48
2003-12-29T00:00:00Z,44
2003-12-30T00:00:00Z,44
2003-12-31T00:00:00Z,42
2004-01-02T00:00:00Z,44
2004-01-05T00:00:00Z,42
2004-01-06T00:00:00Z,43
2004-01-07T00:00:00Z,45
2004-01-08T00:00:00Z,46
2004-01-09T00:00:00Z,46
2004-01-10T00:00:00Z,46
2004-01-12T00:00:00Z,46
2004-01-13T00:00:00Z,46
2004-01-14T00:00:00Z,46
2004-01-15T00:00:00Z,46
2004-01-16T00:00:00Z,48
2004-01-17T00:00:00Z,46
2004-01-19T00:00:00Z,46
2004-01-20T00:00:00Z,47
2004-01-21T00:00:00Z,47
2004-01-22T00:00:00Z,47
2004-01-23T00:00:00Z,46
2004-01-24T00:00:00Z,46
2004-01-26T00:00:00Z,46
2004-01-27T00:00:00Z,46
2004-01-28T00:00:00Z,45
2004-01-29T00:00:00Z,45
2004-01-30T00:00:00Z,45
2004-01-31T00:00:00Z,44
2004-02-01T00:00:00Z,46
2004-02-02T00:00:00Z,44
2004-02-03T00:00:00Z,46
2004-02-04T00:00:00Z,44
2004-02-05T00:00:00Z,44
2004-02-06T00:00:00Z,44
2004-02-07T00:00:00Z,45
2004-02-08T00:00:00Z,46
2004-02-09T00:00:00Z,46
2004-02-10T00:00:00Z,46
2004-02-11T00:00:00Z,46
2004-02-12T00:00:00Z,48
2004-02-13T00:00:00Z,47
2004-02-14T00:00:00Z,46
2004-02-15T00:00:00Z,47
2004-02-16T00:00:00Z,48
2004-02-17T00:00:00Z,49
2004-02-18T00:00:00Z,46
2004-02-19T00:00:00Z,47
2004-02-20T00:00:00Z,46
2004-02-21T00:00:00Z,49
2004-02-22T00:00:00Z,48
2004-02-23T00:00:00Z,48
2004-02-24T00:00:00Z,48
2004-02-26T00:00:00Z,48
2004-02-27T00:00:00Z,48
2004-02-28T00:00:00Z,44
2004-02-29T00:00:00Z,48
2004-03-01T00:00:00Z,47
2004-03-02T00:00:00Z,48
2004-03-03T00:00:00Z,47
2004-03-04T00:00:00Z,47
2004-03-05T00:00:00Z,48
2004-03-06T00:00:00Z,48
2004-03-07T00:00:00Z,48
2004-03-08T00:00:00Z,52
2004-03-09T00:00:00Z,50
2004-03-10T00:00:00Z,52
2004-03-11T00:00:00Z,52
2004-03-12T00:00:00Z,52
2004-03-13T00:00:00Z,54
2004-03-14T00:00:00Z,58
2004-03-15T00:00:00Z,58
2004-03-16T00:00:00Z,56
2004-03-17T00:00:00Z,55
2004-03-18T00:00:00Z,58
2004-03-19T00:00:00Z,59
2004-03-20T00:00:00Z,58
2004-03-21T00:00:00Z,60
2004-03-22T00:00:00Z,60
2004-03-23T00:00:00Z,59
2004-03-24T00:00:00Z,59
2004-03-25T00:00:00Z,59
2004-03-26T00:00:00Z,58
2004-03-27T00:00:00Z,55
2004-03-28T00:00:00Z,55
2004-03-29T00:00:00Z,56
2004-03-30T00:00:00Z,56
2004-03-31T00:00:00Z,56
2004-04-01T00:00:00Z,57
2004-04-02T00:00:00Z,55
2004-04-03T00:00:00Z,55
2004-04-04T00:00:00Z,56
2004-04-05T00:00:00Z,57
2004-04-06T00:00:00Z,58
2004-04-07T00:00:00Z,58
2004-04-08T00:00:00Z,59
2004-04-09T00:00:00Z,59
2004-04-10T00:00:00Z,61
2004-04-12T00:00:00Z,59
2004-04-13T00:00:00Z,58
2004-04-14T00:00:00Z,58
2004-04-15T00:00:00Z,58
2004-04-16T00:00:00Z,57
2004-04-17T00:00:00Z,56
2004-04-18T00:00:00Z,56
2004-04-19T00:00:00Z,56
2004-04-20T00:00:00Z,54
2004-04-21T00:00:00Z,55
2004-04-22T00:00:00Z,56
2004-04-23T00:00:00Z,57
2004-04-24T00:00:00Z,58
2004-04-25T00:00:00Z,61
2004-04-26T00:00:00Z,64
2004-04-27T00:00:00Z,65
2004-04-28T00:00:00Z,65
2004-04-29T00:00:00Z,65
2004-04-30T00:00:00Z,66
2004-05-01T00:00:00Z,64
2004-05-02T00:00:00Z,65
2004-05-03T00:00:00Z,66
2004-05-04T00:00:00Z,66
2004-05-05T00:00:00Z,66
2004-05-06T00:00:00Z,66
2004-05-07T00:00:00Z,NA
2004-05-08T00:00:00Z,64
2004-05-10T00:00:00Z,62
2004-05-11T00:00:00Z,62
2004-05-12T00:00:00Z,63
2004-05-13T00:00:00Z,64
2004-05-14T00:00:00Z,62
2004-05-15T00:00:00Z,62
2004-05-17T00:00:00Z,65
2004-05-19T00:00:00Z,66
2004-05-21T00:00:00Z,63
2004-05-24T00:00:00Z,66
2004-05-26T00:00:00Z,66
2004-05-28T00:00:00Z,67
2004-06-01T00:00:00Z,67
2004-06-02T00:00:00Z,66
2004-06-04T00:00:00Z,67
2004-06-07T00:00:00Z,67
2004-06-09T00:00:00Z,65
2004-06-11T00:00:00Z,64
2004-06-14T00:00:00Z,67
2004-06-16T00:00:00Z,68
2004-06-18T00:00:00Z,68
2004-06-21T00:00:00Z,67
2004-06-23T00:00:00Z,68
2004-06-25T00:00:00Z,68
2004-06-28T00:00:00Z,68
2004-06-30T00:00:00Z,68
2004-10-29T00:00:00Z,57
2004-11-01T00:00:00Z,57
2004-11-03T00:00:00Z,57
2004-11-05T00:00:00Z,55
2004-11-08T00:00:00Z,55
2004-11-10T00:00:00Z,57
2004-11-12T00:00:00Z,57
2004-11-15T00:00:00Z,58
2004-11-17T00:00:00Z,57
2004-11-19T00:00:00Z,57
2004-11-22T00:00:00Z,51
2004-11-24T00:00:00Z,50
2004-11-26T00:00:00Z,52
2004-11-29T00:00:00Z,49
2004-12-01T00:00:00Z,48
2004-12-03T00:00:00Z,46
2004-12-06T00:00:00Z,47
2004-12-08T00:00:00Z,48
2004-12-10T00:00:00Z,52
2004-12-11T00:00:00Z,52
2004-12-13T00:00:00Z,53
2004-12-14T00:00:00Z,54
2004-12-15T00:00:00Z,53
2004-12-17T00:00:00Z,52
2004-12-20T00:00:00Z,52
2004-12-22T00:00:00Z,49
2004-12-23T00:00:00Z,48
2004-12-27T00:00:00Z,47
2004-12-29T00:00:00Z,47
2004-12-30T00:00:00Z,48
2004-12-31T00:00:00Z,49
2005-01-01T00:00:00Z,50
2005-01-02T00:00:00Z,48
2005-01-03T00:00:00Z,47
2005-01-04T00:00:00Z,48
2005-01-05T00:00:00Z,48
2005-01-06T00:00:00Z,49
2005-01-07T00:00:00Z,49
2005-01-08T00:00:00Z,48
2005-01-09T00:00:00Z,48
2005-01-10T00:00:00Z,46
2005-01-11T00:00:00Z,46
2005-01-12T00:00:00Z,49
2005-01-13T00:00:00Z,46
2005-01-14T00:00:00Z,46
2005-01-15T00:00:00Z,47
2005-01-16T00:00:00Z,47
2005-01-17T00:00:00Z,47
2005-01-18T00:00:00Z,48
2005-01-19T00:00:00Z,48
2005-01-20T00:00:00Z,48
2005-01-21T00:00:00Z,49
2005-01-22T00:00:00Z,49
2005-01-23T00:00:00Z,49
2005-01-24T00:00:00Z,49
2005-01-25T00:00:00Z,49
2005-01-26T00:00:00Z,49
2005-01-27T00:00:00Z,52
2005-01-28T00:00:00Z,53
2005-01-29T00:00:00Z,52
2005-01-30T00:00:00Z,52
2005-01-31T00:00:00Z,51
2005-02-01T00:00:00Z,49
2005-02-02T00:00:00Z,49
2005-02-03T00:00:00Z,51
2005-02-04T00:00:00Z,51
2005-02-05T00:00:00Z,52
2005-02-06T00:00:00Z,51
2005-02-07T00:00:00Z,53
2005-02-08T00:00:00Z,53
2005-02-09T00:00:00Z,53
2005-02-10T00:00:00Z,52
2005-02-11T00:00:00Z,52
2005-02-12T00:00:00Z,53
2005-02-13T00:00:00Z,53
2005-02-14T00:00:00Z,54
2005-02-15T00:00:00Z,54
2005-02-16T00:00:00Z,53
2005-02-17T00:00:00Z,53
2005-02-18T00:00:00Z,54
2005-02-19T00:00:00Z,54
2005-02-20T00:00:00Z,55
2005-02-21T00:00:00Z,54
2005-02-22T00:00:00Z,54
2005-02-23T00:00:00Z,56
2005-02-24T00:00:00Z,56
2005-02-25T00:00:00Z,53
2005-02-26T00:00:00Z,55
2005-02-27T00:00:00Z,54
2005-02-28T00:00:00Z,53
2005-03-01T00:00:00Z,56
2005-03-02T00:00:00Z,54
2005-03-03T00:00:00Z,55
2005-03-04T00:00:00Z,55
2005-03-05T00:00:00Z,56
2005-03-06T00:00:00Z,52
2005-03-07T00:00:00Z,55
2005-03-08T00:00:00Z,53
2005-03-09T00:00:00Z,59
2005-03-10T00:00:00Z,59
2005-03-11T00:00:00Z,59
2005-03-12T00:00:00Z,62
2005-03-13T00:00:00Z,63
2005-03-14T00:00:00Z,59
2005-03-15T00:00:00Z,57
2005-03-16T00:00:00Z,60
2005-03-17T00:00:00Z,59
2005-03-18T00:00:00Z,58
2005-03-19T00:00:00Z,53
2005-03-20T00:00:00Z,52
2005-03-21T00:00:00Z,57
2005-03-22T00:00:00Z,55
2005-03-23T00:00:00Z,55
2005-03-24T00:00:00Z,55
2005-03-25T00:00:00Z,52
2005-03-26T00:00:00Z,57
2005-03-27T00:00:00Z,57
2005-03-28T00:00:00Z,56
2005-03-29T00:00:00Z,56
2005-03-30T00:00:00Z,56
2005-03-31T00:00:00Z,56
2005-04-01T00:00:00Z,57
2005-04-02T00:00:00Z,58
2005-04-03T00:00:00Z,58
2005-04-04T00:00:00Z,58
2005-04-05T00:00:00Z,57
